GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,RLZE001,RLZE002,RLZE003,RLZE004,RLZE005,RLZE006,RLZE007,RLZE008,RLZE009,RLZE010,RLZE011,RLZE012,RLZE013,RLZE014,RLZE015,RLZE016,RLZE017,RLZE018,RLZE019,RLZE020,RLZE021,NAME_M,RLZM001,RLZM002,RLZM003,RLZM004,RLZM005,RLZM006,RLZM007,RLZM008,RLZM009,RLZM010,RLZM011,RLZM012,RLZM013,RLZM014,RLZM015,RLZM016,RLZM017,RLZM018,RLZM019,RLZM020,RLZM021
"G10020","2005-2009","US",,,,,,,,,,,,,,,,"Abbeville, LA Micro Area","10020",,,,,,,,,,,,,,,,"31000US10020","Abbeville, LA Micro Area",22854,21472,19312,2160,1816,236,63,22,23,49,49,0,0,0,0,11,46,12,266,379,619,"Abbeville, LA Micro Area",687,670,709,306,284,108,55,25,31,34,34,123,123,123,123,17,44,21,130,132,152
"G10100","2005-2009","US",,,,,,,,,,,,,,,,"Aberdeen, SD Micro Area","10100",,,,,,,,,,,,,,,,"31000US10100","Aberdeen, SD Micro Area",21018,18493,16678,1815,1398,220,164,9,24,80,80,0,0,0,0,34,52,182,1102,89,986,"Aberdeen, SD Micro Area",446,476,494,237,189,83,92,10,22,49,49,99,99,99,99,33,37,96,169,43,191
"G10140","2005-2009","US",,,,,,,,,,,,,,,,"Aberdeen, WA Micro Area","10140",,,,,,,,,,,,,,,,"31000US10140","Aberdeen, WA Micro Area",27668,25078,21572,3506,2077,496,495,250,188,325,322,0,0,0,3,0,22,188,897,119,1039,"Aberdeen, WA Micro Area",735,742,744,466,332,168,203,94,141,117,117,119,119,119,6,119,22,105,227,58,224
"G10180","2005-2009","US",,,,,,,,,,,,,,,,"Abilene, TX Metro Area","10180",,,,,,,,,,,,,,,,"31000US10180","Abilene, TX Metro Area",71256,66109,57725,8384,6368,977,505,503,31,276,276,0,0,0,0,34,264,300,1638,949,1686,"Abilene, TX Metro Area",1144,1173,1128,771,682,245,217,425,27,128,128,127,127,127,127,51,117,118,328,424,279
"G10220","2005-2009","US",,,,,,,,,,,,,,,,"Ada, OK Micro Area","10220",,,,,,,,,,,,,,,,"31000US10220","Ada, OK Micro Area",17760,16685,14593,2092,1495,271,63,85,178,9,9,0,0,0,0,0,41,28,353,173,471,"Ada, OK Micro Area",445,463,491,462,298,86,42,54,289,16,16,109,109,109,109,109,35,28,113,92,109
"G10260","2005-2009","PR",,,,,,,,,,,,,,,,"Adjuntas, PR Micro Area","10260",,,,,,,,,,,,,,,,"31000US10260","Adjuntas, PR Micro Area",4209,3723,3295,428,357,51,0,20,0,18,9,9,0,0,0,0,0,0,227,136,105,"Adjuntas, PR Micro Area",343,354,335,142,126,38,127,31,127,20,14,14,127,127,127,127,127,127,87,83,67
"G10300","2005-2009","US",,,,,,,,,,,,,,,,"Adrian, MI Micro Area","10300",,,,,,,,,,,,,,,,"31000US10300","Adrian, MI Micro Area",45081,41170,36290,4880,4057,450,216,115,42,128,128,0,0,0,0,0,128,92,1445,202,1916,"Adrian, MI Micro Area",873,1049,913,452,446,153,85,60,40,72,72,109,109,109,109,109,73,50,338,82,941
"G10380","2005-2009","PR",,,,,,,,,,,,,,,,"Aguadilla-Isabela-San Sebastián, PR Metro Area","10380",,,,,,,,,,,,,,,,"31000US10380","Aguadilla-Isabela-San Sebastián, PR Metro Area",82673,74214,66459,7755,5663,1125,442,398,127,795,200,565,20,0,10,16,196,272,4890,733,1557,"Aguadilla-Isabela-San Sebastián, PR Metro Area",1668,1705,1695,736,581,325,205,175,91,195,84,170,34,127,16,24,116,105,541,197,300
"G10420","2005-2009","US",,,,,,,,,,,,,,,,"Akron, OH Metro Area","10420",,,,,,,,,,,,,,,,"31000US10420","Akron, OH Metro Area",336642,312079,287833,24246,19951,2871,704,398,322,4305,4210,0,82,0,13,201,277,502,7520,1787,9971,"Akron, OH Metro Area",2134,2265,2228,1095,948,451,269,130,103,519,513,119,67,119,16,103,102,187,705,331,628
"G10460","2005-2009","US",,,,,,,,,,,,,,,,"Alamogordo, NM Micro Area","10460",,,,,,,,,,,,,,,,"31000US10460","Alamogordo, NM Micro Area",27158,25082,21543,3539,2563,493,123,252,108,130,125,5,0,0,0,0,163,95,408,208,1072,"Alamogordo, NM Micro Area",805,841,879,559,505,159,71,150,83,79,78,6,127,127,127,127,88,53,159,113,331
"G10500","2005-2009","US",,,,,,,,,,,,,,,,"Albany, GA Metro Area","10500",,,,,,,,,,,,,,,,"31000US10500","Albany, GA Metro Area",66051,61527,52528,8999,6120,1827,808,145,99,494,494,0,0,0,0,37,59,148,1589,403,1794,"Albany, GA Metro Area",1262,1290,1378,891,698,364,294,97,70,169,169,132,132,132,132,31,48,75,597,144,681
"G10540","2005-2009","US",,,,,,,,,,,,,,,,"Albany-Lebanon, OR Micro Area","10540",,,,,,,,,,,,,,,,"31000US10540","Albany-Lebanon, OR Micro Area",48532,42743,37791,4952,3828,806,200,85,33,183,183,0,0,0,0,14,163,491,1300,336,3302,"Albany-Lebanon, OR Micro Area",1001,1046,1098,536,478,241,69,69,36,100,100,123,123,123,123,21,92,199,279,138,503
"G10580","2005-2009","US",,,,,,,,,,,,,,,,"Albany-Schenectady-Troy, NY Metro Area","10580",,,,,,,,,,,,,,,,"31000US10580","Albany-Schenectady-Troy, NY Metro Area",416932,369552,332467,37085,31671,3965,822,297,330,11813,11149,0,224,429,11,798,545,1149,15566,2502,15007,"Albany-Schenectady-Troy, NY Metro Area",3058,3090,3085,1558,1351,589,185,160,130,917,923,123,125,159,18,270,122,225,1130,388,790
"G10620","2005-2009","US",,,,,,,,,,,,,,,,"Albemarle, NC Micro Area","10620",,,,,,,,,,,,,,,,"31000US10620","Albemarle, NC Micro Area",25915,24660,21830,2830,2288,283,172,50,37,13,13,0,0,0,0,0,42,33,308,190,669,"Albemarle, NC Micro Area",859,929,928,400,396,113,105,70,39,20,20,127,127,127,127,127,34,40,134,92,171
"G10660","2005-2009","US",,,,,,,,,,,,,,,,"Albert Lea, MN Micro Area","10660",,,,,,,,,,,,,,,,"31000US10660","Albert Lea, MN Micro Area",15291,13743,12291,1452,948,262,131,101,10,75,75,0,0,0,0,17,49,66,411,74,856,"Albert Lea, MN Micro Area",418,425,408,286,174,94,82,121,7,64,64,93,93,93,93,26,25,57,101,33,149
"G10700","2005-2009","US",,,,,,,,,,,,,,,,"Albertville, AL Micro Area","10700",,,,,,,,,,,,,,,,"31000US10700","Albertville, AL Micro Area",36005,34401,28869,5532,3953,865,345,353,16,52,52,0,0,0,0,0,66,0,325,256,905,"Albertville, AL Micro Area",747,762,943,558,507,212,199,229,20,50,50,119,119,119,119,119,71,119,117,121,207
"G10740","2005-2009","US",,,,,,,,,,,,,,,,"Albuquerque, NM Metro Area","10740",,,,,,,,,,,,,,,,"31000US10740","Albuquerque, NM Metro Area",389308,351369,303398,47971,37390,6548,1899,1050,1084,5948,5523,0,27,398,0,22,1889,3336,6958,3418,16368,"Albuquerque, NM Metro Area",2665,2922,2876,2009,1662,660,366,303,599,794,749,127,25,130,127,27,328,486,654,531,978
"G10760","2005-2009","US",,,,,,,,,,,,,,,,"Alexander City, AL Micro Area","10760",,,,,,,,,,,,,,,,"31000US10760","Alexander City, AL Micro Area",20651,19576,17096,2480,2145,280,41,14,0,122,122,0,0,0,0,0,9,25,210,144,565,"Alexander City, AL Micro Area",522,595,559,381,380,107,39,21,119,98,98,119,119,119,119,119,14,36,94,84,197
"G10780","2005-2009","US",,,,,,,,,,,,,,,,"Alexandria, LA Metro Area","10780",,,,,,,,,,,,,,,,"31000US10780","Alexandria, LA Metro Area",63271,59322,52450,6872,4818,1204,439,257,154,548,514,34,0,0,0,5,269,74,1399,826,828,"Alexandria, LA Metro Area",1192,1229,1148,547,471,226,152,160,137,147,140,51,123,123,123,7,107,41,334,165,181
"G10820","2005-2009","US",,,,,,,,,,,,,,,,"Alexandria, MN Micro Area","10820",,,,,,,,,,,,,,,,"31000US10820","Alexandria, MN Micro Area",18066,16446,14658,1788,1468,156,116,43,5,55,52,0,0,3,0,0,79,101,402,71,912,"Alexandria, MN Micro Area",354,350,465,331,311,55,74,36,7,27,27,93,93,4,93,93,45,68,89,39,119
"G10860","2005-2009","US",,,,,,,,,,,,,,,,"Alice, TX Micro Area","10860",,,,,,,,,,,,,,,,"31000US10860","Alice, TX Micro Area",15598,14605,12920,1685,1300,114,116,135,20,48,48,0,0,0,0,0,11,0,302,243,389,"Alice, TX Micro Area",1065,1026,959,350,312,70,70,125,31,41,41,127,127,127,127,127,17,127,141,110,141
"G10880","2005-2009","US",,,,,,,,,,,,,,,,"Allegan, MI Micro Area","10880",,,,,,,,,,,,,,,,"31000US10880","Allegan, MI Micro Area",52120,48758,44180,4578,3710,528,180,96,64,123,119,0,4,0,0,0,85,171,851,238,1894,"Allegan, MI Micro Area",746,779,860,451,405,136,95,81,41,144,144,109,6,109,109,109,47,123,170,78,278
"G10900","2005-2009","US",,,,,,,,,,,,,,,,"Allentown-Bethlehem-Easton, PA-NJ Metro Area","10900",,,,,,,,,,,,,,,,"31000US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area",379055,345270,310382,34888,27789,4108,1610,581,800,6501,5865,0,243,377,16,126,569,580,10691,1637,13681,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2515,2824,2867,1444,1087,473,409,176,230,626,600,119,97,145,21,78,172,189,762,245,928
"G10940","2005-2009","US",,,,,,,,,,,,,,,,"Alma, MI Micro Area","10940",,,,,,,,,,,,,,,,"31000US10940","Alma, MI Micro Area",16862,15593,13461,2132,1767,182,103,40,40,6,6,0,0,0,0,0,38,28,545,67,585,"Alma, MI Micro Area",525,553,542,317,317,101,41,58,27,9,9,109,109,109,109,109,31,24,148,34,155
"G10980","2005-2009","US",,,,,,,,,,,,,,,,"Alpena, MI Micro Area","10980",,,,,,,,,,,,,,,,"31000US10980","Alpena, MI Micro Area",12393,11303,10144,1159,850,246,39,0,24,60,60,0,0,0,0,0,43,37,248,87,615,"Alpena, MI Micro Area",381,375,382,204,155,99,29,109,25,33,33,109,109,109,109,109,37,29,92,50,138
"G11020","2005-2009","US",,,,,,,,,,,,,,,,"Altoona, PA Metro Area","11020",,,,,,,,,,,,,,,,"31000US11020","Altoona, PA Metro Area",55867,51949,45681,6268,5033,723,204,217,91,264,264,0,0,0,0,38,81,61,1672,467,1335,"Altoona, PA Metro Area",888,881,969,569,479,153,87,108,59,155,155,109,109,109,109,25,52,44,310,160,241
"G11060","2005-2009","US",,,,,,,,,,,,,,,,"Altus, OK Micro Area","11060",,,,,,,,,,,,,,,,"31000US11060","Altus, OK Micro Area",11528,10317,9068,1249,1011,186,4,48,0,0,0,0,0,0,0,60,52,57,433,242,367,"Altus, OK Micro Area",484,553,506,295,247,119,7,34,109,109,109,109,109,109,109,79,46,44,138,153,203
"G11100","2005-2009","US",,,,,,,,,,,,,,,,"Amarillo, TX Metro Area","11100",,,,,,,,,,,,,,,,"31000US11100","Amarillo, TX Metro Area",115853,109017,94631,14386,10506,2244,1123,357,156,722,685,13,0,0,24,13,357,169,2025,911,2639,"Amarillo, TX Metro Area",1466,1497,1550,1045,814,375,342,311,70,254,247,20,127,127,29,15,112,98,378,214,372
"G11140","2005-2009","US",,,,,,,,,,,,,,,,"Americus, GA Micro Area","11140",,,,,,,,,,,,,,,,"31000US11140","Americus, GA Micro Area",14648,13730,11118,2612,1737,537,199,110,29,85,44,41,0,0,0,26,27,63,331,142,244,"Americus, GA Micro Area",605,668,725,423,336,227,116,83,37,67,44,59,132,132,132,30,38,57,146,84,92
"G11180","2005-2009","US",,,,,,,,,,,,,,,,"Ames, IA Metro Area","11180",,,,,,,,,,,,,,,,"31000US11180","Ames, IA Metro Area",46828,38127,33975,4152,3405,444,129,69,105,2476,2476,0,0,0,0,0,110,696,4028,188,1203,"Ames, IA Metro Area",845,911,894,503,449,157,81,83,55,402,402,99,99,99,99,99,61,189,508,121,216
"G11220","2005-2009","US",,,,,,,,,,,,,,,,"Amsterdam, NY Micro Area","11220",,,,,,,,,,,,,,,,"31000US11220","Amsterdam, NY Micro Area",21805,19442,17131,2311,1856,321,130,0,4,216,216,0,0,0,0,68,11,33,775,404,856,"Amsterdam, NY Micro Area",491,514,447,324,287,96,65,123,6,92,92,123,123,123,123,65,10,29,187,167,158
"G11260","2005-2009","US",,,,,,,,,,,,,,,,"Anchorage, AK Metro Area","11260",,,,,,,,,,,,,,,,"31000US11260","Anchorage, AK Metro Area",177069,156474,132468,24006,19061,2783,1119,677,366,2235,2191,19,6,19,0,282,454,1586,4886,3629,7523,"Anchorage, AK Metro Area",1817,1711,1760,1201,1108,357,305,225,103,382,381,23,9,30,109,98,147,349,601,358,770
"G11300","2005-2009","US",,,,,,,,,,,,,,,,"Anderson, IN Metro Area","11300",,,,,,,,,,,,,,,,"31000US11300","Anderson, IN Metro Area",55758,52012,46028,5984,4723,839,346,60,16,180,174,0,0,6,0,32,105,254,1293,281,1601,"Anderson, IN Metro Area",799,828,885,515,494,185,111,57,18,100,99,119,119,11,119,29,71,119,296,99,249
"G11340","2005-2009","US",,,,,,,,,,,,,,,,"Anderson, SC Metro Area","11340",,,,,,,,,,,,,,,,"31000US11340","Anderson, SC Metro Area",76649,73375,65270,8105,6127,1441,395,101,41,240,164,20,27,0,29,31,175,62,836,359,1571,"Anderson, SC Metro Area",1343,1305,1323,647,670,294,149,75,34,128,98,32,41,127,46,37,78,56,233,127,307
"G11380","2005-2009","US",,,,,,,,,,,,,,,,"Andrews, TX Micro Area","11380",,,,,,,,,,,,,,,,"31000US11380","Andrews, TX Micro Area",5951,5440,4720,720,410,88,164,58,0,29,29,0,0,0,0,0,9,0,158,116,199,"Andrews, TX Micro Area",348,367,410,202,175,60,90,50,127,33,33,127,127,127,127,127,15,127,138,106,85
"G11420","2005-2009","US",,,,,,,,,,,,,,,,"Angola, IN Micro Area","11420",,,,,,,,,,,,,,,,"31000US11420","Angola, IN Micro Area",16788,15665,13982,1683,1388,147,70,39,39,21,21,0,0,0,0,0,36,31,499,119,417,"Angola, IN Micro Area",473,522,572,280,257,74,55,34,50,19,19,119,119,119,119,119,32,35,192,62,195
"G11460","2005-2009","US",,,,,,,,,,,,,,,,"Ann Arbor, MI Metro Area","11460",,,,,,,,,,,,,,,,"31000US11460","Ann Arbor, MI Metro Area",165081,136677,123405,13272,11078,1218,651,207,118,6169,6041,21,94,13,0,172,179,2223,10656,725,8280,"Ann Arbor, MI Metro Area",2627,2585,2444,833,807,256,193,117,67,612,596,24,49,20,109,98,83,383,902,172,560
"G11500","2005-2009","US",,,,,,,,,,,,,,,,"Anniston-Oxford, AL Metro Area","11500",,,,,,,,,,,,,,,,"31000US11500","Anniston-Oxford, AL Metro Area",46261,44406,39969,4437,3151,817,256,173,40,116,116,0,0,0,0,40,87,61,412,401,738,"Anniston-Oxford, AL Metro Area",961,980,1100,615,402,282,112,149,45,73,73,119,119,119,119,59,55,53,152,141,166
"G11540","2005-2009","US",,,,,,,,,,,,,,,,"Appleton, WI Metro Area","11540",,,,,,,,,,,,,,,,"31000US11540","Appleton, WI Metro Area",115549,106057,97922,8135,6007,1329,474,103,222,806,788,13,0,0,5,51,656,624,2938,553,3864,"Appleton, WI Metro Area",1147,1204,1229,574,470,253,207,116,102,161,164,19,93,93,7,39,170,146,387,142,327
"G11580","2005-2009","US",,,,,,,,,,,,,,,,"Arcadia, FL Micro Area","11580",,,,,,,,,,,,,,,,"31000US11580","Arcadia, FL Micro Area",13325,12408,8385,4023,1938,858,609,467,151,309,309,0,0,0,0,21,30,125,221,30,181,"Arcadia, FL Micro Area",671,803,625,812,765,556,423,377,180,370,370,136,136,136,136,34,37,170,153,48,150
"G11620","2005-2009","US",,,,,,,,,,,,,,,,"Ardmore, OK Micro Area","11620",,,,,,,,,,,,,,,,"31000US11620","Ardmore, OK Micro Area",24992,22763,19636,3127,2265,342,228,119,173,62,62,0,0,0,0,0,113,43,628,155,1228,"Ardmore, OK Micro Area",690,698,759,400,378,134,125,221,200,55,55,109,109,109,109,109,68,41,179,91,241
"G11660","2005-2009","US",,,,,,,,,,,,,,,,"Arkadelphia, AR Micro Area","11660",,,,,,,,,,,,,,,,"31000US11660","Arkadelphia, AR Micro Area",10021,8991,7720,1271,774,224,199,48,26,12,12,0,0,0,0,0,8,145,485,96,284,"Arkadelphia, AR Micro Area",920,844,1116,374,250,174,163,71,39,25,25,119,119,119,119,119,13,110,173,69,119
"G11700","2005-2009","US",,,,,,,,,,,,,,,,"Asheville, NC Metro Area","11700",,,,,,,,,,,,,,,,"31000US11700","Asheville, NC Metro Area",182229,166150,144344,21806,16864,3344,598,520,480,986,956,21,9,0,0,88,693,620,3461,877,9354,"Asheville, NC Metro Area",2080,2020,2089,1140,1079,578,239,240,308,252,255,23,15,127,127,63,286,182,671,194,758
"G11740","2005-2009","US",,,,,,,,,,,,,,,,"Ashland, OH Micro Area","11740",,,,,,,,,,,,,,,,"31000US11740","Ashland, OH Micro Area",24612,22067,20247,1820,1619,146,35,0,20,58,58,0,0,0,0,15,19,60,1083,182,1128,"Ashland, OH Micro Area",641,650,653,284,270,75,27,119,22,51,51,119,119,119,119,26,21,46,269,83,321
"G11780","2005-2009","US",,,,,,,,,,,,,,,,"Ashtabula, OH Micro Area","11780",,,,,,,,,,,,,,,,"31000US11780","Ashtabula, OH Micro Area",42664,40002,35795,4207,3299,551,180,137,40,199,199,0,0,0,0,43,72,114,794,340,1100,"Ashtabula, OH Micro Area",1037,989,879,434,415,157,97,108,39,93,93,119,119,119,119,37,49,80,188,136,209
"G11820","2005-2009","US",,,,,,,,,,,,,,,,"Astoria, OR Micro Area","11820",,,,,,,,,,,,,,,,"31000US11820","Astoria, OR Micro Area",17137,14876,12697,2179,1669,188,68,247,7,150,150,0,0,0,0,108,10,145,1009,139,700,"Astoria, OR Micro Area",460,538,536,314,293,130,53,211,11,78,78,123,123,123,123,125,17,79,246,74,134
"G11860","2005-2009","US",,,,,,,,,,,,,,,,"Atchison, KS Micro Area","11860",,,,,,,,,,,,,,,,"31000US11860","Atchison, KS Micro Area",7682,6783,5999,784,456,164,104,49,11,0,0,0,0,0,0,10,27,24,401,95,342,"Atchison, KS Micro Area",488,485,503,166,119,86,65,48,15,109,109,109,109,109,109,17,31,29,148,66,125
"G11900","2005-2009","US",,,,,,,,,,,,,,,,"Athens, OH Micro Area","11900",,,,,,,,,,,,,,,,"31000US11900","Athens, OH Micro Area",25026,19397,17336,2061,1791,180,70,14,6,404,404,0,0,0,0,0,45,223,3655,125,1177,"Athens, OH Micro Area",1000,943,957,316,292,97,53,21,11,162,162,119,119,119,119,119,43,106,642,66,255
"G11940","2005-2009","US",,,,,,,,,,,,,,,,"Athens, TN Micro Area","11940",,,,,,,,,,,,,,,,"31000US11940","Athens, TN Micro Area",21412,19929,17794,2135,1740,209,74,79,33,76,76,0,0,0,0,0,25,29,560,22,771,"Athens, TN Micro Area",668,729,745,367,346,116,72,102,44,64,64,127,127,127,127,127,31,30,232,22,263
"G11980","2005-2009","US",,,,,,,,,,,,,,,,"Athens, TX Micro Area","11980",,,,,,,,,,,,,,,,"31000US11980","Athens, TX Micro Area",31150,29509,24271,5238,4241,598,183,136,80,67,67,0,0,0,0,0,20,29,251,142,1132,"Athens, TX Micro Area",779,769,893,558,557,183,108,141,52,51,51,127,127,127,127,127,22,40,84,72,273
"G12020","2005-2009","US",,,,,,,,,,,,,,,,"Athens-Clarke County, GA Metro Area","12020",,,,,,,,,,,,,,,,"31000US12020","Athens-Clarke County, GA Metro Area",83829,74125,64735,9390,7308,1304,557,102,119,2015,2007,0,8,0,0,89,224,742,3031,425,3178,"Athens-Clarke County, GA Metro Area",1326,1370,1385,902,813,333,272,56,107,325,323,132,16,132,132,90,116,221,444,131,357
"G12060","2005-2009","US",,,,,,,,,,,,,,,,"Atlanta-Sandy Springs-Marietta, GA Metro Area","12060",,,,,,,,,,,,,,,,"31000US12060","Atlanta-Sandy Springs-Marietta, GA Metro Area",2494475,2203868,1932100,271768,201166,39697,15127,9506,6272,90002,67683,1266,18388,2580,85,3524,3639,3792,34299,29130,126221,"Atlanta-Sandy Springs-Marietta, GA Metro Area",7886,8128,7578,4701,3842,2160,1233,1194,896,3360,3177,314,1026,388,55,744,379,676,1839,1715,2615
"G12100","2005-2009","US",,,,,,,,,,,,,,,,"Atlantic City-Hammonton, NJ Metro Area","12100",,,,,,,,,,,,,,,,"31000US12100","Atlantic City-Hammonton, NJ Metro Area",125236,104905,93287,11618,9474,1329,561,53,201,10211,9298,82,123,696,12,228,149,739,4714,1081,3209,"Atlantic City-Hammonton, NJ Metro Area",2060,2124,2277,940,805,333,291,47,220,778,721,63,68,184,18,115,110,253,609,295,593
"G12140","2005-2009","US",,,,,,,,,,,,,,,,"Auburn, IN Micro Area","12140",,,,,,,,,,,,,,,,"31000US12140","Auburn, IN Micro Area",19663,18316,16403,1913,1389,205,38,150,131,29,29,0,0,0,0,0,79,70,342,77,750,"Auburn, IN Micro Area",579,550,634,298,221,90,49,165,170,28,28,119,119,119,119,119,72,58,117,54,202
"G12180","2005-2009","US",,,,,,,,,,,,,,,,"Auburn, NY Micro Area","12180",,,,,,,,,,,,,,,,"31000US12180","Auburn, NY Micro Area",36929,32918,29237,3681,3169,319,32,135,26,385,376,0,9,0,0,64,35,84,1664,214,1565,"Auburn, NY Micro Area",941,1111,945,405,318,113,19,115,25,126,128,123,13,123,123,63,21,60,493,90,328
"G12220","2005-2009","US",,,,,,,,,,,,,,,,"Auburn-Opelika, AL Metro Area","12220",,,,,,,,,,,,,,,,"31000US12220","Auburn-Opelika, AL Metro Area",58462,54058,47321,6737,5422,937,295,48,35,496,420,69,7,0,0,73,212,344,1416,311,1552,"Auburn-Opelika, AL Metro Area",1025,1040,992,753,715,226,107,47,39,136,121,78,12,119,119,43,78,112,289,99,246
"G12260","2005-2009","US",,,,,,,,,,,,,,,,"Augusta-Richmond County, GA-SC Metro Area","12260",,,,,,,,,,,,,,,,"31000US12260","Augusta-Richmond County, GA-SC Metro Area",225521,208361,182770,25591,19514,3633,1427,629,388,1676,1589,20,57,0,10,137,483,515,6652,1528,6169,"Augusta-Richmond County, GA-SC Metro Area",2342,2297,2239,1366,1199,520,370,162,131,454,446,33,44,119,16,95,164,166,1065,249,741
"G12300","2005-2009","US",,,,,,,,,,,,,,,,"Augusta-Waterville, ME Micro Area","12300",,,,,,,,,,,,,,,,"31000US12300","Augusta-Waterville, ME Micro Area",58564,52949,47326,5623,4689,578,176,27,153,62,62,0,0,0,0,130,113,60,2080,662,2508,"Augusta-Waterville, ME Micro Area",1112,1131,1143,521,495,156,80,23,70,43,43,104,104,104,104,60,54,34,354,203,337
"G12380","2005-2009","US",,,,,,,,,,,,,,,,"Austin, MN Micro Area","12380",,,,,,,,,,,,,,,,"31000US12380","Austin, MN Micro Area",18333,15832,13877,1955,1580,212,95,33,35,486,483,3,0,0,0,0,89,350,552,172,852,"Austin, MN Micro Area",297,364,349,257,255,81,56,22,31,229,229,4,93,93,93,93,47,157,119,83,129
"G12420","2005-2009","US",,,,,,,,,,,,,,,,"Austin-Round Rock, TX Metro Area","12420",,,,,,,,,,,,,,,,"31000US12420","Austin-Round Rock, TX Metro Area",810017,708436,607740,100696,74613,14051,7156,3748,1128,22434,22316,50,60,0,8,608,2809,5310,13280,12891,44249,"Austin-Round Rock, TX Metro Area",4092,4327,5033,2904,2739,956,1036,646,252,1561,1551,36,57,127,13,184,353,629,1085,1238,1534
"G12460","2005-2009","US",,,,,,,,,,,,,,,,"Bainbridge, GA Micro Area","12460",,,,,,,,,,,,,,,,"31000US12460","Bainbridge, GA Micro Area",11746,10420,9256,1164,825,246,33,49,11,46,46,0,0,0,0,0,58,18,165,834,205,"Bainbridge, GA Micro Area",511,596,557,297,267,108,33,47,23,32,32,132,132,132,132,132,42,24,111,335,94
"G12540","2005-2009","US",,,,,,,,,,,,,,,,"Bakersfield, CA Metro Area","12540",,,,,,,,,,,,,,,,"31000US12540","Bakersfield, CA Metro Area",291232,268543,218542,50001,33002,7719,5109,2330,1841,3431,3006,110,47,268,0,132,925,1064,4922,4280,7935,"Bakersfield, CA Metro Area",2555,2710,2757,1837,1404,625,691,461,389,504,479,80,50,156,132,105,225,282,558,610,622
"G12580","2005-2009","US",,,,,,,,,,,,,,,,"Baltimore-Towson, MD Metro Area","12580",,,,,,,,,,,,,,,,"31000US12580","Baltimore-Towson, MD Metro Area",1308840,1123237,995330,127907,101300,16630,5165,2191,2621,82889,58319,1003,12540,10975,52,3040,1464,3269,38374,9000,47567,"Baltimore-Towson, MD Metro Area",5409,5882,5585,3178,2694,1142,791,528,402,2413,1991,237,904,843,41,477,237,516,1765,842,1422
"G12620","2005-2009","US",,,,,,,,,,,,,,,,"Bangor, ME Metro Area","12620",,,,,,,,,,,,,,,,"31000US12620","Bangor, ME Metro Area",70283,62762,55569,7193,5983,707,314,54,135,713,701,0,12,0,0,21,127,311,3006,820,2523,"Bangor, ME Metro Area",976,957,998,567,537,192,215,47,79,192,192,104,17,104,104,21,62,115,401,237,334
"G12660","2005-2009","US",,,,,,,,,,,,,,,,"Baraboo, WI Micro Area","12660",,,,,,,,,,,,,,,,"31000US12660","Baraboo, WI Micro Area",31091,28386,25153,3233,2623,369,154,18,69,21,10,0,11,0,0,55,127,57,748,218,1479,"Baraboo, WI Micro Area",537,569,539,293,264,92,59,11,37,17,8,93,15,93,93,40,60,28,118,95,153
"G12700","2005-2009","US",,,,,,,,,,,,,,,,"Barnstable Town, MA Metro Area","12700",,,,,,,,,,,,,,,,"31000US12700","Barnstable Town, MA Metro Area",104685,93223,85139,8084,6332,1191,366,64,131,1261,870,0,116,160,115,110,108,635,2962,744,5642,"Barnstable Town, MA Metro Area",1249,1342,1648,834,735,294,226,80,67,235,201,127,86,75,78,87,59,235,437,207,518
"G12740","2005-2009","US",,,,,,,,,,,,,,,,"Barre, VT Micro Area","12740",,,,,,,,,,,,,,,,"31000US12740","Barre, VT Micro Area",32091,27108,23989,3119,2677,263,70,24,85,247,206,0,39,2,0,3,20,56,1999,118,2540,"Barre, VT Micro Area",603,686,638,337,326,102,43,21,66,87,77,93,32,4,93,5,23,42,277,43,256
"G12780","2005-2009","US",,,,,,,,,,,,,,,,"Bartlesville, OK Micro Area","12780",,,,,,,,,,,,,,,,"31000US12780","Bartlesville, OK Micro Area",22639,21051,17709,3342,2749,449,81,51,12,98,80,0,0,18,0,49,112,43,539,122,625,"Bartlesville, OK Micro Area",619,648,653,463,397,194,69,65,19,90,82,109,109,27,109,56,56,43,176,72,157
"G12820","2005-2009","US",,,,,,,,,,,,,,,,"Bastrop, LA Micro Area","12820",,,,,,,,,,,,,,,,"31000US12820","Bastrop, LA Micro Area",10280,9749,8994,755,461,110,2,31,151,48,48,0,0,0,0,110,9,0,155,118,91,"Bastrop, LA Micro Area",503,547,554,206,146,54,4,36,146,37,37,123,123,123,123,99,14,123,122,89,46
"G12860","2005-2009","US",,,,,,,,,,,,,,,,"Batavia, NY Micro Area","12860",,,,,,,,,,,,,,,,"31000US12860","Batavia, NY Micro Area",27865,25797,23414,2383,1921,352,98,0,12,118,106,0,12,0,0,0,51,239,817,128,715,"Batavia, NY Micro Area",598,645,701,297,254,161,49,123,13,56,56,123,13,123,123,123,52,87,160,53,148
