GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,RLZE001,RLZE002,RLZE003,RLZE004,RLZE005,RLZE006,RLZE007,RLZE008,RLZE009,RLZE010,RLZE011,RLZE012,RLZE013,RLZE014,RLZE015,RLZE016,RLZE017,RLZE018,RLZE019,RLZE020,RLZE021,NAME_M,RLZM001,RLZM002,RLZM003,RLZM004,RLZM005,RLZM006,RLZM007,RLZM008,RLZM009,RLZM010,RLZM011,RLZM012,RLZM013,RLZM014,RLZM015,RLZM016,RLZM017,RLZM018,RLZM019,RLZM020,RLZM021
"G43780","2005-2009","US",,,,,,,,,,,,,,,,"South Bend-Mishawaka, IN-MI Metro Area","43780",,,,,,,,,,,,,,,,"31000US43780","South Bend-Mishawaka, IN-MI Metro Area",144960,131526,119537,11989,9874,1214,460,268,173,1577,1548,5,22,0,2,69,255,1045,4831,1246,4411,"South Bend-Mishawaka, IN-MI Metro Area",1696,1801,1756,802,679,232,224,114,88,290,285,8,23,119,4,47,95,242,654,320,539
"G43860","2005-2009","US",,,,,,,,,,,,,,,,"Southern Pines-Pinehurst, NC Micro Area","43860",,,,,,,,,,,,,,,,"31000US43860","Southern Pines-Pinehurst, NC Micro Area",33489,31371,27889,3482,2599,525,278,15,65,173,173,0,0,0,0,0,72,41,433,178,1221,"Southern Pines-Pinehurst, NC Micro Area",777,772,808,492,426,189,202,27,43,142,142,127,127,127,127,127,49,48,149,85,232
"G43900","2005-2009","US",,,,,,,,,,,,,,,,"Spartanburg, SC Metro Area","43900",,,,,,,,,,,,,,,,"31000US43900","Spartanburg, SC Metro Area",119142,112913,100802,12111,9023,2075,501,334,178,348,314,0,25,0,9,137,230,172,1941,809,2592,"Spartanburg, SC Metro Area",1446,1424,1365,940,837,380,212,123,102,113,100,127,34,127,15,113,84,82,399,237,384
"G43940","2005-2009","US",,,,,,,,,,,,,,,,"Spearfish, SD Micro Area","43940",,,,,,,,,,,,,,,,"31000US43940","Spearfish, SD Micro Area",11779,10248,8952,1296,956,249,52,28,11,88,88,0,0,0,0,0,28,105,603,44,663,"Spearfish, SD Micro Area",494,484,453,274,241,114,71,20,18,61,61,99,99,99,99,99,31,122,162,39,215
"G43980","2005-2009","US",,,,,,,,,,,,,,,,"Spencer, IA Micro Area","43980",,,,,,,,,,,,,,,,"31000US43980","Spencer, IA Micro Area",8588,7589,6983,606,428,80,70,25,3,3,3,0,0,0,0,2,40,51,357,27,519,"Spencer, IA Micro Area",321,339,349,155,139,43,49,39,4,5,5,99,99,99,99,3,37,37,114,26,114
"G44020","2005-2009","US",,,,,,,,,,,,,,,,"Spirit Lake, IA Micro Area","44020",,,,,,,,,,,,,,,,"31000US44020","Spirit Lake, IA Micro Area",8724,7800,6786,1014,778,165,35,16,20,3,3,0,0,0,0,0,7,48,288,20,558,"Spirit Lake, IA Micro Area",374,355,366,162,166,84,32,19,18,4,4,99,99,99,99,99,8,42,124,17,137
"G44060","2005-2009","US",,,,,,,,,,,,,,,,"Spokane, WA Metro Area","44060",,,,,,,,,,,,,,,,"31000US44060","Spokane, WA Metro Area",207635,182031,160820,21211,17118,2514,832,318,429,5839,5738,26,0,7,68,9,740,1260,5852,1380,10524,"Spokane, WA Metro Area",2013,2045,2090,1062,929,373,227,167,99,541,535,32,119,11,68,14,143,325,703,255,965
"G44100","2005-2009","US",,,,,,,,,,,,,,,,"Springfield, IL Metro Area","44100",,,,,,,,,,,,,,,,"31000US44100","Springfield, IL Metro Area",102330,95034,85148,9886,8199,1196,241,168,82,1317,1290,0,0,27,0,63,149,431,1748,509,3079,"Springfield, IL Metro Area",1937,1886,1890,588,544,241,84,106,60,253,250,119,119,26,119,43,75,126,317,152,373
"G44140","2005-2009","US",,,,,,,,,,,,,,,,"Springfield, MA Metro Area","44140",,,,,,,,,,,,,,,,"31000US44140","Springfield, MA Metro Area",319042,284016,257483,26533,22006,2597,823,533,574,5803,5597,21,66,94,25,125,259,1495,13832,1637,11875,"Springfield, MA Metro Area",2364,2345,2174,1290,1109,425,228,188,207,570,586,26,52,60,28,100,96,318,945,286,729
"G44180","2005-2009","US",,,,,,,,,,,,,,,,"Springfield, MO Metro Area","44180",,,,,,,,,,,,,,,,"31000US44180","Springfield, MO Metro Area",198846,181997,162102,19895,15703,2723,783,315,371,1095,1031,6,20,0,38,143,436,720,4951,1420,8084,"Springfield, MO Metro Area",1978,2050,2068,1134,1002,401,178,128,163,285,278,11,23,114,46,71,115,231,527,210,675
"G44220","2005-2009","US",,,,,,,,,,,,,,,,"Springfield, OH Metro Area","44220",,,,,,,,,,,,,,,,"31000US44220","Springfield, OH Metro Area",61316,57401,51247,6154,5015,666,342,84,47,519,513,0,0,0,6,0,46,71,1497,383,1399,"Springfield, OH Metro Area",957,1082,1068,539,494,173,126,88,34,160,161,119,119,119,10,119,37,71,340,138,204
"G44260","2005-2009","US",,,,,,,,,,,,,,,,"Starkville, MS Micro Area","44260",,,,,,,,,,,,,,,,"31000US44260","Starkville, MS Micro Area",18722,16875,14491,2384,1909,186,224,13,52,191,145,30,16,0,0,0,94,320,699,123,420,"Starkville, MS Micro Area",763,791,856,413,410,93,128,21,64,118,104,47,25,127,127,127,79,226,306,113,152
"G44300","2005-2009","US",,,,,,,,,,,,,,,,"State College, PA Metro Area","44300",,,,,,,,,,,,,,,,"31000US44300","State College, PA Metro Area",65775,51650,44403,7247,6131,698,225,92,101,2072,2012,16,41,3,0,94,165,1134,7514,377,2769,"State College, PA Metro Area",1427,1179,1206,633,557,172,100,46,60,382,375,23,40,5,109,67,76,225,656,110,299
"G44340","2005-2009","US",,,,,,,,,,,,,,,,"Statesboro, GA Micro Area","44340",,,,,,,,,,,,,,,,"31000US44340","Statesboro, GA Micro Area",29375,26972,23026,3946,2934,514,352,83,63,258,258,0,0,0,0,0,11,28,567,184,1355,"Statesboro, GA Micro Area",908,966,933,613,612,146,181,63,66,186,186,132,132,132,132,132,19,32,207,96,307
"G44380","2005-2009","US",,,,,,,,,,,,,,,,"Statesville-Mooresville, NC Micro Area","44380",,,,,,,,,,,,,,,,"31000US44380","Statesville-Mooresville, NC Micro Area",68876,64395,57598,6797,5279,948,132,310,128,271,271,0,0,0,0,66,213,21,538,471,2901,"Statesville-Mooresville, NC Micro Area",1148,1199,1287,681,648,176,69,272,72,102,102,127,127,127,127,53,104,27,186,176,437
"G44420","2005-2009","US",,,,,,,,,,,,,,,,"Staunton-Waynesboro, VA Micro Area","44420",,,,,,,,,,,,,,,,"31000US44420","Staunton-Waynesboro, VA Micro Area",52748,49139,43952,5187,4364,576,140,82,25,122,94,0,28,0,0,0,78,172,1003,650,1584,"Staunton-Waynesboro, VA Micro Area",1312,1369,1281,601,556,179,96,64,30,78,69,127,39,127,127,127,50,146,351,224,325
"G44500","2005-2009","US",,,,,,,,,,,,,,,,"Stephenville, TX Micro Area","44500",,,,,,,,,,,,,,,,"31000US44500","Stephenville, TX Micro Area",15957,14347,12781,1566,1044,176,63,65,218,0,0,0,0,0,0,0,16,38,663,35,858,"Stephenville, TX Micro Area",717,714,596,346,292,89,39,73,184,127,127,127,127,127,127,127,22,47,220,32,203
"G44540","2005-2009","US",,,,,,,,,,,,,,,,"Sterling, CO Micro Area","44540",,,,,,,,,,,,,,,,"31000US44540","Sterling, CO Micro Area",9700,8391,7294,1097,817,153,50,77,0,0,0,0,0,0,0,0,72,68,559,173,437,"Sterling, CO Micro Area",618,552,517,286,271,103,33,56,123,123,123,123,123,123,123,123,52,98,225,102,117
